,precip_prob,forecast_time,temperature,feels_like,humidity,cloudiness,wind_speed,wind_gust,city,city_id
0,0.0,2022-06-15 15:00:00,26.1,26.1,35,0,1.15,2.37,Berlin,Q64
1,0.0,2022-06-15 18:00:00,25.27,24.79,36,19,2.9,3.11,Berlin,Q64
2,0.0,2022-06-15 21:00:00,20.79,20.2,49,23,3.78,8.92,Berlin,Q64
3,0.0,2022-06-16 00:00:00,15.84,15.15,64,31,2.66,5.99,Berlin,Q64
4,0.0,2022-06-16 03:00:00,15.35,14.66,66,100,1.84,2.54,Berlin,Q64
5,0.0,2022-06-16 06:00:00,17.61,16.97,59,100,2.72,3.27,Berlin,Q64
6,0.0,2022-06-16 09:00:00,22.17,21.62,45,90,3.5,3.86,Berlin,Q64
7,0.0,2022-06-16 12:00:00,24.82,24.3,36,86,4.94,4.43,Berlin,Q64
8,0.0,2022-06-16 15:00:00,22.33,21.61,38,72,5.64,6.64,Berlin,Q64
9,0.0,2022-06-16 18:00:00,20.54,19.69,40,38,5.19,6.23,Berlin,Q64
10,0.0,2022-06-16 21:00:00,16.24,15.46,59,26,2.66,5.5,Berlin,Q64
11,0.0,2022-06-17 00:00:00,14.59,13.83,66,63,2.44,4.72,Berlin,Q64
12,0.0,2022-06-17 03:00:00,13.25,12.64,77,100,2.85,6.01,Berlin,Q64
13,0.0,2022-06-17 06:00:00,16.23,15.5,61,66,3.67,5.92,Berlin,Q64
14,0.0,2022-06-17 09:00:00,21.08,20.29,40,72,3.37,4.16,Berlin,Q64
15,0.0,2022-06-17 12:00:00,24.61,23.91,30,77,2.46,3.16,Berlin,Q64
16,0.0,2022-06-17 15:00:00,25.49,24.83,28,100,3.27,3.84,Berlin,Q64
17,0.0,2022-06-17 18:00:00,23.2,22.54,37,100,2.35,3.47,Berlin,Q64
18,0.0,2022-06-17 21:00:00,20.23,19.51,46,100,0.33,0.53,Berlin,Q64
19,0.0,2022-06-18 00:00:00,19.9,19.2,48,100,2.13,4.39,Berlin,Q64
20,0.0,2022-06-18 03:00:00,18.05,17.43,58,65,2.45,5.93,Berlin,Q64
21,0.0,2022-06-18 06:00:00,22.14,21.64,47,36,4.21,7.69,Berlin,Q64
22,0.0,2022-06-18 09:00:00,28.42,27.57,33,0,4.14,6.64,Berlin,Q64
23,0.0,2022-06-18 12:00:00,31.99,30.59,28,18,4.86,7.18,Berlin,Q64
24,0.0,2022-06-18 15:00:00,32.68,31.48,29,40,4.92,6.63,Berlin,Q64
25,0.0,2022-06-18 18:00:00,30.68,30.01,36,37,2.99,5.23,Berlin,Q64
26,0.0,2022-06-18 21:00:00,25.4,25.3,50,3,1.19,1.95,Berlin,Q64
27,0.0,2022-06-19 00:00:00,23.05,22.93,58,4,1.01,1.56,Berlin,Q64
28,0.0,2022-06-19 03:00:00,21.68,21.44,59,4,2.94,8.32,Berlin,Q64
29,0.0,2022-06-19 06:00:00,26.18,26.18,45,7,4.77,10.51,Berlin,Q64
30,0.0,2022-06-19 09:00:00,32.01,30.61,28,9,4.44,7.06,Berlin,Q64
31,0.0,2022-06-19 12:00:00,34.8,33.06,22,6,2.81,5.98,Berlin,Q64
32,0.0,2022-06-19 15:00:00,29.38,29.21,42,2,6.71,7.12,Berlin,Q64
33,0.0,2022-06-19 18:00:00,24.25,24.11,53,34,5.57,6.38,Berlin,Q64
34,0.33,2022-06-19 21:00:00,17.01,16.52,67,96,4.58,8.04,Berlin,Q64
35,0.61,2022-06-20 00:00:00,14.25,13.95,85,84,3.07,5.06,Berlin,Q64
36,0.11,2022-06-20 03:00:00,13.41,12.95,82,75,2.87,5.54,Berlin,Q64
37,0.0,2022-06-20 06:00:00,15.29,14.52,63,88,2.8,3.87,Berlin,Q64
38,0.0,2022-06-20 09:00:00,20.28,19.3,36,75,1.89,2.25,Berlin,Q64
39,0.0,2022-06-20 12:00:00,20.23,19.2,34,87,2.12,1.61,Berlin,Q64
40,0.0,2022-06-15 15:00:00,22.52,22.0,45,0,3.05,2.6,Hamburg,Q1055
41,0.0,2022-06-15 18:00:00,21.31,20.8,50,12,3.54,6.28,Hamburg,Q1055
42,0.0,2022-06-15 21:00:00,16.01,15.6,74,58,2.13,4.03,Hamburg,Q1055
43,0.0,2022-06-16 00:00:00,12.08,11.56,85,91,1.49,1.6,Hamburg,Q1055
44,0.0,2022-06-16 03:00:00,11.15,10.51,84,100,1.65,2.15,Hamburg,Q1055
45,0.0,2022-06-16 06:00:00,14.1,13.37,69,100,2.63,4.2,Hamburg,Q1055
46,0.0,2022-06-16 09:00:00,18.29,17.35,45,95,3.55,4.65,Hamburg,Q1055
47,0.0,2022-06-16 12:00:00,21.21,20.48,42,72,3.65,4.84,Hamburg,Q1055
48,0.0,2022-06-16 15:00:00,21.44,20.76,43,17,5.16,4.96,Hamburg,Q1055
49,0.0,2022-06-16 18:00:00,17.25,16.62,61,22,4.4,6.14,Hamburg,Q1055
50,0.0,2022-06-16 21:00:00,12.39,11.85,83,97,1.97,4.74,Hamburg,Q1055
51,0.0,2022-06-17 00:00:00,11.9,11.39,86,99,2.17,5.45,Hamburg,Q1055
52,0.0,2022-06-17 03:00:00,9.9,9.27,96,46,1.77,1.72,Hamburg,Q1055
53,0.0,2022-06-17 06:00:00,15.43,14.86,70,55,2.52,4.17,Hamburg,Q1055
54,0.0,2022-06-17 09:00:00,20.55,19.97,50,75,2.35,3.16,Hamburg,Q1055
55,0.0,2022-06-17 12:00:00,21.77,21.28,49,88,3.66,4.29,Hamburg,Q1055
56,0.0,2022-06-17 15:00:00,22.07,21.77,55,100,3.01,4.47,Hamburg,Q1055
57,0.0,2022-06-17 18:00:00,18.88,18.78,75,100,0.3,0.59,Hamburg,Q1055
58,0.0,2022-06-17 21:00:00,17.57,17.39,77,97,2.36,5.53,Hamburg,Q1055
59,0.0,2022-06-18 00:00:00,15.54,15.16,77,63,2.91,10.89,Hamburg,Q1055
60,0.0,2022-06-18 03:00:00,14.73,14.24,76,3,2.87,10.85,Hamburg,Q1055
61,0.0,2022-06-18 06:00:00,19.6,19.29,64,3,3.53,7.05,Hamburg,Q1055
62,0.0,2022-06-18 09:00:00,25.58,25.45,48,50,4.03,6.23,Hamburg,Q1055
63,0.0,2022-06-18 12:00:00,27.87,27.98,46,43,4.57,6.71,Hamburg,Q1055
64,0.0,2022-06-18 15:00:00,26.98,27.46,51,10,4.37,5.65,Hamburg,Q1055
65,0.0,2022-06-18 18:00:00,22.59,22.6,65,6,2.93,3.96,Hamburg,Q1055
66,0.0,2022-06-18 21:00:00,16.98,16.9,83,28,2.47,5.83,Hamburg,Q1055
67,0.06,2022-06-19 00:00:00,15.8,15.52,80,64,2.35,4.95,Hamburg,Q1055
68,0.56,2022-06-19 03:00:00,13.04,12.83,93,96,3.49,6.79,Hamburg,Q1055
69,0.52,2022-06-19 06:00:00,14.65,14.39,85,89,4.85,6.96,Hamburg,Q1055
70,0.4,2022-06-19 09:00:00,17.14,16.84,74,100,3.66,4.21,Hamburg,Q1055
71,0.44,2022-06-19 12:00:00,21.24,21.04,62,100,3.05,2.86,Hamburg,Q1055
72,0.08,2022-06-19 15:00:00,17.12,16.87,76,100,3.9,4.71,Hamburg,Q1055
73,0.38,2022-06-19 18:00:00,14.85,14.53,82,100,3.48,5.17,Hamburg,Q1055
74,0.0,2022-06-19 21:00:00,10.41,9.75,86,62,1.99,3.92,Hamburg,Q1055
75,0.0,2022-06-20 00:00:00,11.87,11.15,78,81,2.12,6.79,Hamburg,Q1055
76,0.0,2022-06-20 03:00:00,8.09,7.53,95,53,1.45,1.66,Hamburg,Q1055
77,0.0,2022-06-20 06:00:00,12.8,11.99,71,61,2.04,3.83,Hamburg,Q1055
78,0.0,2022-06-20 09:00:00,17.85,16.97,49,94,2.25,2.49,Hamburg,Q1055
79,0.0,2022-06-20 12:00:00,20.93,20.15,41,82,2.83,2.7,Hamburg,Q1055
80,0.0,2022-06-15 15:00:00,28.33,28.19,43,12,2.45,5.05,Munich,Q1726
81,0.08,2022-06-15 18:00:00,26.33,26.33,53,11,1.02,2.13,Munich,Q1726
82,0.29,2022-06-15 21:00:00,21.06,21.1,72,6,1.97,2.52,Munich,Q1726
83,0.29,2022-06-16 00:00:00,15.98,15.91,87,2,2.33,3.32,Munich,Q1726
84,0.05,2022-06-16 03:00:00,14.81,14.72,91,7,2.35,4.36,Munich,Q1726
85,0.31,2022-06-16 06:00:00,17.86,17.89,84,35,2.36,5.48,Munich,Q1726
86,0.46,2022-06-16 09:00:00,23.97,23.96,59,31,4.54,6.85,Munich,Q1726
87,0.33,2022-06-16 12:00:00,25.43,25.41,53,48,4.97,7.35,Munich,Q1726
88,0.28,2022-06-16 15:00:00,25.71,25.64,50,32,5.65,9.27,Munich,Q1726
89,0.53,2022-06-16 18:00:00,20.0,20.07,77,36,2.94,6.29,Munich,Q1726
90,0.46,2022-06-16 21:00:00,16.54,16.42,83,66,1.54,1.79,Munich,Q1726
91,0.38,2022-06-17 00:00:00,14.91,14.68,85,80,0.94,1.08,Munich,Q1726
92,0.08,2022-06-17 03:00:00,13.3,12.91,85,71,0.85,0.98,Munich,Q1726
93,0.17,2022-06-17 06:00:00,16.01,15.73,79,85,1.23,2.45,Munich,Q1726
94,0.29,2022-06-17 09:00:00,21.79,21.43,54,47,2.11,2.74,Munich,Q1726
95,0.25,2022-06-17 12:00:00,24.23,23.86,44,45,2.86,4.24,Munich,Q1726
96,0.0,2022-06-17 15:00:00,23.85,23.44,44,98,2.77,3.21,Munich,Q1726
97,0.0,2022-06-17 18:00:00,20.0,19.75,65,99,1.85,2.92,Munich,Q1726
98,0.0,2022-06-17 21:00:00,15.74,15.2,70,88,1.3,1.42,Munich,Q1726
99,0.0,2022-06-18 00:00:00,15.57,15.04,71,92,1.47,1.65,Munich,Q1726
100,0.0,2022-06-18 03:00:00,15.26,14.77,74,95,1.5,1.62,Munich,Q1726
101,0.0,2022-06-18 06:00:00,19.07,18.76,66,82,0.96,1.26,Munich,Q1726
102,0.0,2022-06-18 09:00:00,24.32,24.01,46,38,2.37,2.51,Munich,Q1726
103,0.0,2022-06-18 12:00:00,26.82,26.78,41,24,3.36,3.42,Munich,Q1726
104,0.0,2022-06-18 15:00:00,26.5,26.5,46,2,4.12,4.61,Munich,Q1726
105,0.0,2022-06-18 18:00:00,22.39,22.46,68,2,3.39,8.39,Munich,Q1726
106,0.0,2022-06-18 21:00:00,17.61,17.54,81,3,2.98,8.75,Munich,Q1726
107,0.0,2022-06-19 00:00:00,15.74,15.62,86,1,1.86,3.46,Munich,Q1726
108,0.0,2022-06-19 03:00:00,15.97,15.71,80,25,2.14,2.47,Munich,Q1726
109,0.0,2022-06-19 06:00:00,21.68,21.63,66,15,1.81,3.51,Munich,Q1726
110,0.0,2022-06-19 09:00:00,28.81,28.98,46,2,1.85,3.46,Munich,Q1726
111,0.0,2022-06-19 12:00:00,32.28,31.99,36,1,2.2,4.58,Munich,Q1726
112,0.13,2022-06-19 15:00:00,31.77,31.95,40,1,4.09,5.91,Munich,Q1726
113,0.34,2022-06-19 18:00:00,22.15,22.2,68,38,4.5,9.78,Munich,Q1726
114,0.0,2022-06-19 21:00:00,19.92,19.72,67,58,2.83,5.42,Munich,Q1726
115,0.69,2022-06-20 00:00:00,18.41,18.71,92,55,3.91,12.18,Munich,Q1726
116,0.97,2022-06-20 03:00:00,18.41,18.68,91,100,3.6,10.95,Munich,Q1726
117,0.93,2022-06-20 06:00:00,20.55,20.83,83,67,3.03,9.68,Munich,Q1726
118,0.09,2022-06-20 09:00:00,25.64,25.67,54,6,5.32,7.41,Munich,Q1726
119,0.65,2022-06-20 12:00:00,24.65,24.89,66,17,4.46,5.35,Munich,Q1726
120,0.0,2022-06-15 15:00:00,27.93,27.09,31,0,3.5,2.96,Cologne,Q365
121,0.0,2022-06-15 18:00:00,26.86,26.58,36,3,3.79,5.73,Cologne,Q365
122,0.0,2022-06-15 21:00:00,22.13,21.68,49,16,2.5,6.44,Cologne,Q365
123,0.0,2022-06-16 00:00:00,16.26,15.82,72,37,1.31,4.38,Cologne,Q365
124,0.0,2022-06-16 03:00:00,14.54,14.16,81,55,1.42,2.18,Cologne,Q365
125,0.0,2022-06-16 06:00:00,17.7,17.22,65,29,2.44,4.29,Cologne,Q365
126,0.0,2022-06-16 09:00:00,22.43,21.9,45,63,3.63,4.5,Cologne,Q365
127,0.0,2022-06-16 12:00:00,25.22,24.58,30,47,3.92,4.15,Cologne,Q365
128,0.0,2022-06-16 15:00:00,25.96,25.96,27,30,3.87,3.98,Cologne,Q365
129,0.0,2022-06-16 18:00:00,23.25,22.7,41,57,2.66,4.09,Cologne,Q365
130,0.0,2022-06-16 21:00:00,17.71,17.1,60,92,1.18,3.01,Cologne,Q365
131,0.0,2022-06-17 00:00:00,15.71,15.14,69,77,1.5,2.15,Cologne,Q365
132,0.0,2022-06-17 03:00:00,15.78,15.14,66,100,1.41,2.07,Cologne,Q365
133,0.0,2022-06-17 06:00:00,18.66,18.02,55,91,1.97,3.0,Cologne,Q365
134,0.0,2022-06-17 09:00:00,23.53,23.01,41,99,2.11,2.48,Cologne,Q365
135,0.0,2022-06-17 12:00:00,27.71,26.93,31,99,1.02,1.78,Cologne,Q365
136,0.0,2022-06-17 15:00:00,29.01,27.88,30,92,1.51,2.81,Cologne,Q365
137,0.0,2022-06-17 18:00:00,27.37,27.2,41,82,0.68,1.41,Cologne,Q365
138,0.0,2022-06-17 21:00:00,21.58,21.2,54,97,1.8,2.65,Cologne,Q365
139,0.0,2022-06-18 00:00:00,19.5,19.18,64,70,2.14,3.22,Cologne,Q365
140,0.0,2022-06-18 03:00:00,18.14,17.81,69,3,2.25,4.04,Cologne,Q365
141,0.0,2022-06-18 06:00:00,22.23,22.0,57,1,2.29,3.72,Cologne,Q365
142,0.0,2022-06-18 09:00:00,29.83,28.99,35,2,2.03,2.96,Cologne,Q365
143,0.0,2022-06-18 12:00:00,33.91,32.69,27,2,2.47,2.94,Cologne,Q365
144,0.0,2022-06-18 15:00:00,34.44,33.36,27,2,2.47,2.97,Cologne,Q365
145,0.0,2022-06-18 18:00:00,32.52,32.15,35,1,1.99,3.47,Cologne,Q365
146,0.0,2022-06-18 21:00:00,25.69,25.65,51,0,2.12,3.36,Cologne,Q365
147,0.0,2022-06-19 00:00:00,22.91,22.67,54,0,2.84,8.06,Cologne,Q365
148,0.0,2022-06-19 03:00:00,20.5,20.28,64,1,2.92,6.88,Cologne,Q365
149,0.0,2022-06-19 06:00:00,24.07,23.97,55,3,3.16,6.62,Cologne,Q365
150,0.0,2022-06-19 09:00:00,30.47,30.0,38,4,3.13,4.03,Cologne,Q365
151,0.0,2022-06-19 12:00:00,31.04,30.96,40,24,3.3,4.63,Cologne,Q365
152,0.0,2022-06-19 15:00:00,30.6,30.82,43,17,4.54,4.44,Cologne,Q365
153,0.38,2022-06-19 18:00:00,25.97,25.97,66,20,2.68,5.55,Cologne,Q365
154,0.75,2022-06-19 21:00:00,19.81,19.99,82,6,3.64,7.83,Cologne,Q365
155,1.0,2022-06-20 00:00:00,16.5,16.69,95,38,1.81,4.43,Cologne,Q365
156,1.0,2022-06-20 03:00:00,15.79,15.96,97,84,1.29,1.99,Cologne,Q365
157,0.98,2022-06-20 06:00:00,14.81,14.83,95,91,3.48,5.04,Cologne,Q365
158,0.2,2022-06-20 09:00:00,13.74,13.42,86,100,3.16,4.82,Cologne,Q365
159,0.0,2022-06-20 12:00:00,19.35,18.83,57,94,2.22,3.16,Cologne,Q365
160,0.0,2022-06-15 15:00:00,31.42,29.74,25,0,0.47,2.79,Frankfurt am Main,Q1794
161,0.0,2022-06-15 18:00:00,30.08,28.83,30,1,2.04,3.14,Frankfurt am Main,Q1794
162,0.0,2022-06-15 21:00:00,24.64,24.39,47,3,1.42,2.02,Frankfurt am Main,Q1794
163,0.0,2022-06-16 00:00:00,18.35,18.09,71,10,2.0,3.81,Frankfurt am Main,Q1794
164,0.0,2022-06-16 03:00:00,16.58,16.33,78,38,2.07,4.4,Frankfurt am Main,Q1794
165,0.0,2022-06-16 06:00:00,20.23,19.88,60,50,2.82,4.97,Frankfurt am Main,Q1794
166,0.0,2022-06-16 09:00:00,25.1,24.76,42,39,3.39,4.29,Frankfurt am Main,Q1794
167,0.0,2022-06-16 12:00:00,28.16,27.17,29,32,3.28,5.27,Frankfurt am Main,Q1794
168,0.0,2022-06-16 15:00:00,28.39,27.17,25,30,4.44,4.8,Frankfurt am Main,Q1794
169,0.0,2022-06-16 18:00:00,24.46,23.88,35,31,4.03,5.63,Frankfurt am Main,Q1794
170,0.0,2022-06-16 21:00:00,18.17,17.48,55,98,2.47,6.24,Frankfurt am Main,Q1794
171,0.0,2022-06-17 00:00:00,15.59,14.88,64,82,1.81,3.47,Frankfurt am Main,Q1794
172,0.0,2022-06-17 03:00:00,14.51,13.82,69,100,1.85,3.25,Frankfurt am Main,Q1794
173,0.0,2022-06-17 06:00:00,17.17,16.51,60,100,1.87,2.63,Frankfurt am Main,Q1794
174,0.0,2022-06-17 09:00:00,23.55,23.0,40,100,1.57,1.55,Frankfurt am Main,Q1794
175,0.0,2022-06-17 12:00:00,27.4,26.64,29,100,0.89,1.97,Frankfurt am Main,Q1794
176,0.0,2022-06-17 15:00:00,28.43,27.32,28,99,1.44,3.13,Frankfurt am Main,Q1794
177,0.0,2022-06-17 18:00:00,26.31,26.31,39,98,2.1,2.39,Frankfurt am Main,Q1794
178,0.0,2022-06-17 21:00:00,21.69,21.17,48,98,1.46,2.14,Frankfurt am Main,Q1794
179,0.0,2022-06-18 00:00:00,19.0,18.44,57,71,1.17,1.27,Frankfurt am Main,Q1794
180,0.0,2022-06-18 03:00:00,17.52,17.0,64,7,1.4,1.56,Frankfurt am Main,Q1794
181,0.0,2022-06-18 06:00:00,21.96,21.52,50,13,1.39,2.47,Frankfurt am Main,Q1794
182,0.0,2022-06-18 09:00:00,29.08,27.94,30,2,2.08,2.81,Frankfurt am Main,Q1794
183,0.0,2022-06-18 12:00:00,33.63,31.76,22,1,2.31,2.55,Frankfurt am Main,Q1794
184,0.0,2022-06-18 15:00:00,34.86,33.13,22,0,2.43,2.29,Frankfurt am Main,Q1794
185,0.0,2022-06-18 18:00:00,31.52,30.62,33,0,3.33,4.7,Frankfurt am Main,Q1794
186,0.0,2022-06-18 21:00:00,24.63,24.58,55,0,2.42,6.72,Frankfurt am Main,Q1794
187,0.0,2022-06-19 00:00:00,21.76,21.64,63,2,1.44,2.92,Frankfurt am Main,Q1794
188,0.0,2022-06-19 03:00:00,19.01,18.87,73,0,1.55,2.89,Frankfurt am Main,Q1794
189,0.0,2022-06-19 06:00:00,23.22,23.03,55,0,2.44,4.78,Frankfurt am Main,Q1794
190,0.0,2022-06-19 09:00:00,30.82,29.94,34,0,5.32,8.09,Frankfurt am Main,Q1794
191,0.0,2022-06-19 12:00:00,35.33,34.34,26,3,5.41,8.01,Frankfurt am Main,Q1794
192,0.0,2022-06-19 15:00:00,35.76,34.92,26,3,5.6,7.67,Frankfurt am Main,Q1794
193,0.0,2022-06-19 18:00:00,32.55,32.19,35,11,5.05,7.7,Frankfurt am Main,Q1794
194,0.04,2022-06-19 21:00:00,26.48,26.48,54,2,2.17,5.03,Frankfurt am Main,Q1794
195,0.73,2022-06-20 00:00:00,21.35,21.79,86,51,2.37,4.73,Frankfurt am Main,Q1794
196,0.6,2022-06-20 03:00:00,19.61,20.03,92,91,0.86,2.97,Frankfurt am Main,Q1794
197,0.64,2022-06-20 06:00:00,21.57,21.79,77,50,2.13,4.63,Frankfurt am Main,Q1794
198,0.53,2022-06-20 09:00:00,24.46,24.48,58,30,4.36,6.92,Frankfurt am Main,Q1794
